id,name,type,rarity,base_hp,base_atk,buy_dna,hybrid(0/1),buy_s_dna,s_dna_type,fusion_dna_amount,type_aquatic,battle_in_the_water,flock,buy_amber
338,エラスマザリウム,4,superrare,766,239,1400,0,0,0,0,0,0,0,0
339,エンテロドン,4,superrare,689,323,1600,0,0,0,0,0,0,0,25000
340,サーカストドン,6,superrare,776,242,1400,0,0,0,0,0,0,0,25000
341,シンテトケラス,6,superrare,919,287,1650,0,0,0,0,0,0,0,0
342,デイノテリウム,6,superrare,881,275,1600,0,0,0,0,0,0,0,0
343,ドエディクルス,5,superrare,785,245,1400,0,0,0,0,0,0,0,25000
344,メギストテリウム,5,superrare,567,302,1400,0,0,0,0,0,0,0,0
345,アンドリューサークス,5,legend,1020,531,3550,0,0,0,0,0,0,0,0
346,インドリコテリウム,4,legend,934,486,3250,0,0,0,0,0,0,0,0
347,ウインタテリウム,4,legend,1944,267,3650,0,0,0,0,0,0,0,0
348,エレモテリウム,5,legend,1168,365,3050,0,0,0,0,0,0,0,0
349,グリプトドン,5,legend,1724,359,3750,0,0,0,0,0,0,0,0
350,ディプロトドン,6,legend,1226,383,3200,0,0,0,0,0,0,0,0
351,ティラコレオ,6,legend,822,677,3900,0,0,0,0,0,0,0,0
352,フォルスラコス,4,legend,1149,359,3000,0,0,0,0,0,0,0,0
353,メガロセロス,6,legend,1296,331,3080,0,0,0,0,0,0,0,0
354,PANTHERA BLYTHEAE,6,tournament,1604,1288,7480,0,0,0,0,0,0,0,0
355,アイルラルクトス,6,tournament,2873,898,7000,0,0,0,0,0,0,0,150000
356,アルクトドゥス,6,tournament,2735,821,7000,0,0,0,0,0,0,0,0
357,ウルティノテリウム,4,tournament,3282,806,7650,0,0,0,0,0,0,0,0
358,エウクラドケロス,6,tournament,2509,784,6550,0,0,0,0,0,0,0,0
359,ガストルニス,4,tournament,1360,1275,7100,0,0,0,0,0,0,0,0
360,カルボネミス,5,tournament,3834,514,7150,0,0,0,0,0,0,0,0
361,ギガントフィス,5,tournament,2528,790,6600,0,0,0,0,0,0,0,0
362,ケブカサイ,6,tournament,2681,838,7000,0,0,0,0,0,0,0,0
363,ケレンケン,4,tournament,2518,787,6580,0,0,0,0,0,0,0,0
364,スミロドン,6,tournament,1796,1043,6700,0,0,0,0,0,0,0,0
365,セバルシス,6,tournament,3034,632,6600,0,0,0,0,0,0,0,0
366,ティタノボア,5,tournament,2820,974,7750,0,0,0,0,0,0,0,0
367,マストドン,6,tournament,2416,981,7250,0,0,0,0,0,0,0,0
368,マンモス,6,tournament,3348,773,7600,0,0,0,0,0,0,0,0
369,ミロドン,6,tournament,2605,814,6800,0,0,0,0,0,0,0,0
370,メガテリウム,5,tournament,2643,826,6900,0,0,0,0,0,0,0,0
371,ティラコスミルス,6,vip,2394,2244,10000,0,0,0,0,0,0,0,0
372,パノクトゥス,5,vip,6224,1047,10000,0,0,0,0,0,0,0,0
373,ヒアエノドン,5,vip,4788,1496,10000,0,0,0,0,0,0,0,0
374,プロコプトドン,4,vip,3591,1870,10000,0,0,0,0,0,0,0,0
375,ブロントテリウム,4,vip,3352,1945,10000,0,0,0,0,0,0,0,0
376,メイオラニア,5,vip,6703,898,10000,0,0,0,0,0,0,0,0
377,アルケオフィキオン,5,superrare,3481,725,16240,1,0,0,0,0,0,0,0
378,メギストクルス,5,superrare,2467,1033,15680,1,0,0,0,0,0,0,0
379,アンドリューテリウム,5,legend,3718,1572,28840,1,0,0,0,0,0,0,0
380,インドリコセロス,4,legend,4449,1390,35420,1,0,0,0,0,0,0,0
381,エンテロラコス,4,legend,3695,1155,25760,1,0,0,0,0,0,0,0
382,SAH PANTHERA,6,tournament,6877,3821,49700,1,0,0,0,0,0,0,0
383,エレモセロス,5,tournament,7810,2918,64200,1,0,0,0,0,0,0,0
384,スマイテトケラス,6,tournament,4163,2702,46760,1,0,0,0,0,0,0,0
385,ディロフォボア,5,tournament,11427,3571,85400,1,0,0,0,0,0,0,0
386,マンモスリウム,4,tournament,8446,1584,50400,1,0,0,0,0,0,0,0
387,ライノプロトドン,6,tournament,6488,2478,57120,1,0,0,0,0,0,0,0
388,ヒドラボア,5,tournament,22695,7092,341600,2,3000,302,6000,0,0,0,0
389,マンモラニア,4,tournament,16825,6352,201600,2,3000,376,6000,0,0,0,0
390,コリントケイルス,1,tournament,6843,3731,42800,1,0,0,0,0,0,0,0
391,コンプソグナトゥス,0,legend,1379,527,4000,0,0,0,0,0,0,1,0
392,アクイロプス,1,tournament,1961,919,6400,0,0,0,0,0,0,1,150000
393,コンプソグナトゥス(第二世代),0,tournament,2540,427,5100,0,0,0,0,0,0,1,0
394,シノサウロプテリクス,0,tournament,2643,826,6900,0,0,0,0,0,0,1,150000
395,ドードー,1,tournament,3419,356,5950,0,0,0,0,0,0,1,0
396,プレオンダクティルス,2,tournament,1498,909,6000,0,0,0,0,0,0,1,0
397,ペデルペス ラックス,3,tournament,3792,395,6600,0,0,0,0,0,0,1,0
398,ベルゼブフォ,3,tournament,1734,854,6200,0,0,0,0,0,0,1,0
399,モロス・イントレピドゥス,0,tournament,2758,710,7650,0,0,0,0,0,0,1,0
400,ロドリゲスドードー,1,tournament,2547,796,6650,0,0,0,0,0,0,1,150000
401,アヌログナトゥス,2,vip,5650,1227,10000,0,0,0,0,0,0,1,0
402,COMPSOGNATHUS JP2,0,superstar,5267,1646,13750,0,0,0,0,0,0,1,0
403,アクイサウルス,1,tournament,8561,4357,76820,1,0,0,0,0,0,1,0
404,コンプソヴェナトル,0,tournament,10507,3284,78420,1,0,0,0,0,0,1,0
405,ドレッダクティルス,2,tournament,14967,2518,75600,1,0,0,0,0,0,1,0
406,ペデロプス ラックス,3,tournament,9872,2845,79520,1,0,0,0,0,0,1,0
407,アルファ06,0,boss,15943,4349,99999999,3,0,0,0,0,0,0,0
408,インペラトスクス,3,boss,21305,3451,99999999,3,0,0,0,0,0,0,0
409,ヴァルキリー77,2,boss,20000,3150,99999999,3,0,0,0,0,0,0,0
410,オメガ09,0,boss,16008,4192,99999999,3,0,0,0,0,0,0,0
411,サラマンダー16,3,boss,22704,2676,99999999,3,0,0,0,0,0,0,0
412,ジャガーノート32,1,boss,22958,2150,99999999,3,0,0,0,0,0,0,0
413,ディストータス・レックス,0,boss,21374,4525,99999999,3,0,0,0,0,0,0,0
414,バルカン19,1,boss,22154,2458,99999999,3,0,0,0,0,0,0,0
415,フェニックス44,2,boss,18647,3368,99999999,3,0,0,0,0,0,0,0
416,モータム ティラノ,0,boss,22154,3211,99999999,3,0,0,0,0,0,0,0
417,死のドードー,1,boss,16773,4017,99999999,3,0,0,0,0,0,0,0
418,ウロボロス66,5,boss,23451,2766,99999999,3,0,0,0,0,0,0,0
419,ベヒーモス93,4,boss,21247,2849,99999999,3,0,0,0,0,0,0,0
420,大渦08,6,boss,24811,2671,99999999,3,0,0,0,0,0,0,0
421,アクパラ81,9,boss,25136,2312,99999999,3,0,0,0,9,2,0,0
422,クラーケン18,8,boss,23418,2763,99999999,3,0,0,0,8,2,0,0
423,コロッサス04,7,boss,19814,3278,99999999,3,0,0,0,7,2,0,0
